"CLāRü[āh","Vender","OTS","Product","Program","APN","Internal PN","Build","QC category","Category","Inspection Step","Inspection Item","USL","LSL","d.name"
"673-0111-0 51","Hirose","B2B","Phone","D47/D48/D93/D94","516S01056","673-0111-0 51","MP","IPQC","Dimension","AOI","Coplanarity","60","","BM55P0.5-26DS/2-0.3V(51)"
"673-0118-0 51","Hirose","B2B","Phone","V57","516S01090","673-0118-0 51","MP","IPQC","Dimension","AOI","Coplanarity","60","","BM55P0.5-8DS/2-0.3V(51)"
"673-0126-0 51","Hirose","B2B","Phone","D93/D94/V53/V54","516S01127","673-0126-0 51","MP","IPQC","Dimension","AOI","Coplanarity","80","","BM55PD0.5-14DP/2-0.3V(51)"
"673-0149-0 51","Hirose","B2B","Phone","D47/D48/D93/D94","516S01143","673-0149-0 51","MP","IPQC","Dimension","AOI","Coplanarity","80","","BM55PD-26DP/2-0.3V(51)"
"673-0150-0 51","Hirose","B2B","Phone","V57/ D23","516S01148","673-0150-0 51","MP","IPQC","Dimension","AOI","Coplanarity","80","","BM55PD-12DP/2-0.3V(51)"
"673-0151-0 51","Hirose","B2B","Phone","V57","516S01149","673-0151-0 51","EVT","IPQC","Dimension","AOI","Coplanarity","80","","BM55PD-8DP/2-0.3V(51)"
"673-0156-0 51","Hirose","B2B","Phone","D47/D48/D93/D94/V59/V57/D23/V53/V54","516S01173","673-0156-0 51","MP","IPQC","Dimension","AOI","Coplanarity","80","","BM55PD-2DP/2-0.3V(51)"
"673-0159-0 51","Hirose","B2B","Phone","D23/V53/ V54","516S01199","673-0159-0 51","MP","IPQC","Dimension","AOI","Coplanarity","80","","BM55PD-10DP/2-0.3V(51)"
"673-0160-0 51","Hirose","B2B","Phone","D23/V53/V54","516S01243","673-0160-0 51","MP","IPQC","Dimension","AOI","Coplanarity","80","","BM55PD-16DP/2-0.3V(51)"
"673-0162-0 51","Hirose","B2B","Phone","V53/V54","516S01242","673-0162-0 51","MP","IPQC","Dimension","AOI","Coplanarity","60","","BM55P0.5-16DS/2-0.3V(51)"
"673-0175-0 51","Hirose","B2B","Phone","D23","516S01295","673-0175-0 51","MP","IPQC","Dimension","AOI","Coplanarity","80","","BM55PD-4DP/2-0.3V(51)"
"673-0176-0 51","Hirose","B2B","Phone","D23","516S01294","673-0176-0 51","MP","IPQC","Dimension","AOI","Coplanarity","60","","BM55P0.5-4DS/2-0.3V(51)"
"673-0178-0 51","Hirose","B2B","Phone","V53/V54","516S01289","673-0178-0 51","MP","IPQC","Dimension","AOI","Coplanarity","80","","BM55PD-22DP/2-0.3V(51)"
"673-1006-0 51","Hirose","B2B","Phone","V53/V54","516S01288","673-1006-0 51","MP","IPQC","Dimension","AOI","Coplanarity","60","","BM55P0.5-22DS/2-0.3V(51)"
"673-7802-0 51","Hirose","B2B","Phone","D27/D28/D37/D38/D47/D48/D93/D94/V59/V53/D23/V54/V57","516S00836","673-7802-0 51","MP","IPQC","Dimension","AOI","Coplanarity","60","","BM55P0.5-2DS/2-0.3V(51)"
"673-7803-0 51","Hirose","B2B","Phone","D37/D38","516S00837","673-7803-0 51","MP","IPQC","Dimension","AOI","Coplanarity","80","","BM55P0.5-2DP/2-0.3V(51)"
"673-7808-0 51","Hirose","B2B","Phone","D37/D38/D93/D94","516S00904","673-7808-0 51 ","MP","IPQC","Dimension","AOI","Coplanarity","60","","BM55P0.5-14DS/2-0.3V(51)"
"673-7809-0 51","Hirose","B2B","Phone","D37/D38","516S00905","673-7809-0 51","MP","IPQC","Dimension","AOI","Coplanarity","80","","BM55P0.5-14DP/2-0.3V(51)"
"673-7820-0 51","Hirose","B2B","Phone","X3407/X3408/D23/ V53/V54","516S00964","673-7820-0 51","MP","IPQC","Dimension","AOI","Coplanarity","60","","BM55P0.5-10DS/2-0.3V(51)"
"673-0209-0 51","Hirose","B2B","PC","J700","516S01558","673-0209-0 51","MP","IPQC","Dimension","AOI","Coplanarity","","","BM41PM07-14DS/2-0.35V(51)"
"673-0208-0 51","Hirose","B2B","PC","J700","516S01559","673-0208-0 51","MP","IPQC","Dimension","AOI","Coplanarity","","","BM41PM-14DP/2-0.35V(51)"
